id;name_eng;city_eng;country_eng;IATA;ICAO;timeZone
3850;Hobart Regional Airport;Hobart;United States;HBR;KHBR;-6,0
3851;Lanai Airport;Lanai;United States;LNY;PHNY;-10,0
3852;Alexandria International Airport;Alexandria;United States;AEX;KAEX;-6,0
3853;Condron Army Air Field;White Sands;United States;WSD;KWSD;-7,0
3854;Cold Bay Airport;Cold Bay;United States;CDB;PACD;-9,0
3855;Tulsa International Airport;Tulsa;United States;TUL;KTUL;-6,0
3856;Sitka Rocky Gutierrez Airport;Sitka;United States;SIT;PASI;-9,0
3857;Long Island Mac Arthur Airport;Islip;United States;ISP;KISP;-5,0
3858;Minneapolis-St Paul International/Wold-Chamberlain Airport;Minneapolis;United States;MSP;KMSP;-6,0
3859;New Castle Airport;Wilmington;United States;ILG;KILG;-5,0
3860;Unalaska Airport;Unalaska;United States;DUT;PADU;-9,0
3861;Louis Armstrong New Orleans International Airport;New Orleans;United States;MSY;KMSY;-6,0
3862;Portland International Jetport Airport;Portland;United States;PWM;KPWM;-5,0
3863;Will Rogers World Airport;Oklahoma City;United States;OKC;KOKC;-6,0
3864;Albany International Airport;Albany;United States;ALB;KALB;-5,0
3865;Valdez Pioneer Field;Valdez;United States;VDZ;PAVD;-9,0
3866;Langley Air Force Base;Hampton;United States;LFI;KLFI;-5,0
3867;John Wayne Airport-Orange County Airport;Santa Ana;United States;SNA;KSNA;-8,0
3868;Columbus Air Force Base;Colombus;United States;CBM;KCBM;-6,0
3869;Kendall-Tamiami Executive Airport;Kendall-tamiami;United States;TMB;KTMB;-5,0
3870;Oceana NAS;Oceana;United States;NTU;KNTU;-5,0
3871;Grissom Air Reserve Base;Peru;United States;GUS;KGUS;-5,0
3872;Casper-Natrona County International Airport;Casper;United States;CPR;KCPR;-7,0
3873;Destin-Ft Walton Beach Airport;Valparaiso;United States;VPS;KVPS;-6,0
3874;Craig Field;Selma;United States;SEM;KSEM;-6,0
3875;Key West International Airport;Key West;United States;EYW;KEYW;-5,0
3876;Charlotte Douglas International Airport;Charlotte;United States;CLT;KCLT;-5,0
3877;McCarran International Airport;Las Vegas;United States;LAS;KLAS;-8,0
3878;Orlando International Airport;Orlando;United States;MCO;KMCO;-5,0
3879;Florence Regional Airport;Florence;United States;FLO;KFLO;-5,0
3880;Great Falls International Airport;Great Falls;United States;GTF;KGTF;-7,0
3881;Youngstown Warren Regional Airport;Youngstown;United States;YNG;KYNG;-5,0
3882;Ladd AAF Airfield;Fort Wainwright;United States;FBK;PAFB;-9,0
3883;Mc Minnville Municipal Airport;Mackminnville;United States;MMV;KMMV;-8,0
3884;Robins Air Force Base;Macon;United States;WRB;KWRB;-5,0
3885;Suvarnabhumi Airport;Bangkok;Thailand;BKK;VTBS;7,0
3886;Naha Airport;Naha;Indonesia;NAH;WAMH;8,0
3887;Andi Jemma Airport;Masamba;Indonesia;Null;WAWM;8,0
3888;Soroako Airport;Soroako;Indonesia;Null;WAWS;8,0
3889;Pongtiku Airport;Makale;Indonesia;TTR;WAWT;8,0
3890;Wolter Monginsidi Airport;Kendari;Indonesia;KDI;WAWW;8,0
3891;Maimun Saleh Airport;Sabang;Indonesia;SBG;WITB;7,0
3892;Cibeureum Airport;Tasikmalaya;Indonesia;Null;WICM;7,0
3893;Iswahyudi Airport;Madiun;Indonesia;Null;WARI;7,0
3894;Abdul Rachman Saleh Airport;Malang;Indonesia;MLG;WARA;7,0
3895;Budiarto Airport;Tangerang;Indonesia;Null;WICB;7,0
3896;Husein Sastranegara International Airport;Bandung;Indonesia;BDO;WICC;7,0
3897;Penggung Airport;Cirebon;Indonesia;CBN;WICD;7,0
3898;Adi Sutjipto International Airport;Yogyakarta;Indonesia;JOG;WARJ;7,0
3899;Tunggul Wulung Airport;Cilacap;Indonesia;CXP;WIHL;7,0
3900;Pondok Cabe Air Base;Jakarta;Indonesia;PCB;WIHP;7,0
3901;Achmad Yani Airport;Semarang;Indonesia;SRG;WARS;7,0
3903;Hang Nadim International Airport;Batam;Indonesia;BTH;WIDD;7,0
3904;Buluh Tumbang (H A S Hanandjoeddin) Airport;Tanjung Pandan;Indonesia;TJQ;WIOD;7,0
3905;Pangkal Pinang (Depati Amir) Airport;Pangkal Pinang;Indonesia;PGK;WIPK;7,0
3906;Raja Haji Fisabilillah International Airport;Tanjung Pinang;Indonesia;TNJ;WIDN;7,0
3907;Dabo Airport;Singkep;Indonesia;SIQ;WIDS;7,0
3908;Syamsudin Noor Airport;Banjarmasin;Indonesia;BDJ;WAOO;8,0
3909;Batu Licin Airport;Batu Licin;Indonesia;Null;WAOC;8,0
3910;Iskandar Airport;Pangkalan Bun;Indonesia;PKN;WAOI;7,0
3911;Tjilik Riwut Airport;Palangkaraya;Indonesia;PKY;WAOP;7,0
3913;Maumere(Wai Oti) Airport;Maumere;Indonesia;MOF;WATC;8,0
3914;Ende (H Hasan Aroeboesman) Airport;Ende;Indonesia;ENE;WATE;8,0
3915;Frans Sales Lega Airport;Ruteng;Indonesia;RTG;WATG;8,0
3916;El Tari Airport;Kupang;Indonesia;KOE;WATT;8,0
3917;Komodo (Mutiara II) Airport;Labuhan Bajo;Indonesia;LBJ;WATO;8,0
